,degree,coeff_name,coeff_value,std_error,CI_lower,CI_upper
0,5.0,b1,0.4335,0.0007,0.432,0.4349
1,5.0,b2,2.6435,0.0478,2.5499,2.7372
2,5.0,b3,1.1373,0.0427,1.0536,1.221
3,5.0,b4,-11.2801,0.2208,-11.7129,-10.8473
4,5.0,b5,-3.6992,0.1238,-3.9418,-3.4565
5,5.0,b6,-2.8345,0.2113,-3.2488,-2.4203
6,5.0,b7,14.462,0.4526,13.5749,15.3491
7,5.0,b8,9.9684,0.2467,9.4849,10.4518
8,5.0,b9,3.9991,0.2193,3.5692,4.429
9,5.0,b10,-1.2692,0.4447,-2.1409,-0.3976
10,5.0,b11,-6.1021,0.4384,-6.9614,-5.2429
11,5.0,b12,-10.6774,0.2461,-11.1597,-10.1951
12,5.0,b13,-1.782,0.1921,-2.1584,-1.4055
13,5.0,b14,-4.8062,0.2109,-5.2197,-4.3928
14,5.0,b15,6.4326,0.432,5.5859,7.2793
15,5.0,b16,0.0696,0.1623,-0.2485,0.3877
16,5.0,b17,3.4581,0.1026,3.2571,3.6591
17,5.0,b18,1.7935,0.083,1.6309,1.956
18,5.0,b19,-0.6987,0.0748,-0.8452,-0.5521
19,5.0,b20,2.4614,0.0862,2.2924,2.6303
20,5.0,b21,-3.5723,0.1585,-3.883,-3.2617
